symbols,link,data
RPRX,https://www.morningstar.com/stocks/xnas/RPRX/sustainability,
CZR,https://www.morningstar.com/stocks/xnas/CZR/sustainability,
LSXMK,https://www.morningstar.com/stocks/xnas/LSXMK/sustainability,
LSXMA,https://www.morningstar.com/stocks/xnas/LSXMA/sustainability,
XM,https://www.morningstar.com/stocks/xnas/XM/sustainability,
TW,https://www.morningstar.com/stocks/xnas/TW/sustainability,
CG,https://www.morningstar.com/stocks/xnas/CG/sustainability,
NLOK,https://www.morningstar.com/stocks/xnas/NLOK/sustainability,
AKAM,https://www.morningstar.com/stocks/xnas/AKAM/sustainability,
PODD,https://www.morningstar.com/stocks/xnas/PODD/sustainability,
ETSY,https://www.morningstar.com/stocks/xnas/ETSY/sustainability,
DISCB,https://www.morningstar.com/stocks/xnas/DISCB/sustainability,
TECH,https://www.morningstar.com/stocks/xnas/TECH/sustainability,
YNDX,https://www.morningstar.com/stocks/xnas/YNDX/sustainability,
LBTYB,https://www.morningstar.com/stocks/xnas/LBTYB/sustainability,
BMRN,https://www.morningstar.com/stocks/xnas/BMRN/sustainability,
IEP,https://www.morningstar.com/stocks/xnas/IEP/sustainability,
UAL,https://www.morningstar.com/stocks/xnas/UAL/sustainability,
DISH,https://www.morningstar.com/stocks/xnas/DISH/sustainability,
Z,https://www.morningstar.com/stocks/xnas/Z/sustainability,
ZG,https://www.morningstar.com/stocks/xnas/ZG/sustainability,
INCY,https://www.morningstar.com/stocks/xnas/INCY/sustainability,
DISCA,https://www.morningstar.com/stocks/xnas/DISCA/sustainability,
ROKU,https://www.morningstar.com/stocks/xnas/ROKU/sustainability,
DISCK,https://www.morningstar.com/stocks/xnas/DISCK/sustainability,
CEG,https://www.morningstar.com/stocks/xnas/CEG/sustainability,
FWONK,https://www.morningstar.com/stocks/xnas/FWONK/sustainability,
NICE,https://www.morningstar.com/stocks/xnas/NICE/sustainability,
symbols,link,data
AACG,https://www.morningstar.com/stocks/xnas/AACG/sustainability,
AAPL,https://www.morningstar.com/stocks/xnas/AAPL/sustainability,"(['Business Ethics\nOverall\nHuman Capital\nOverall\nData Privacy & Security\nOverall'], 4, 'Incidents: Business Ethics, Social Supply Chain, Customer')"
ABNB,https://www.morningstar.com/stocks/xnas/ABNB/sustainability,"(['Human Capital\nOverall\nData Privacy & Security\nOverall\nBusiness Ethics\nOverall'], 3, 'Incidents: Business Ethics, Customer, Society & Community')"
ABVC,https://www.morningstar.com/stocks/xnas/ABVC/sustainability,
ACAHU,https://www.morningstar.com/stocks/xnas/ACAHU/sustainability,
ACAHW,https://www.morningstar.com/stocks/xnas/ACAHW/sustainability,
ACB,https://www.morningstar.com/stocks/xnas/ACB/sustainability,"(['Product Governance\nOverall\nEmissions, Effluents & Waste\nOverall\nAccess to Basic Services\nOverall'], 2, 'Incidents: Governance')"
ACGL,https://www.morningstar.com/stocks/xnas/ACGL/sustainability,
ACGLO,https://www.morningstar.com/stocks/xnas/ACGLO/sustainability,"(['Product Governance\nOverall\nESG Integration\nFinancials\nData Privacy & Security\nOverall'], 3, 'Incidents: Business Ethics, Customer')"
ACKIW,https://www.morningstar.com/stocks/xnas/ACKIW/sustainability,
ACQRW,https://www.morningstar.com/stocks/xnas/ACQRW/sustainability,
ACTDU,https://www.morningstar.com/stocks/xnas/ACTDU/sustainability,
ACXP,https://www.morningstar.com/stocks/xnas/ACXP/sustainability,
ADBE,https://www.morningstar.com/stocks/xnas/ADBE/sustainability,
ADERW,https://www.morningstar.com/stocks/xnas/ADERW/sustainability,
ADI,https://www.morningstar.com/stocks/xnas/ADI/sustainability,
ADIL,https://www.morningstar.com/stocks/xnas/ADIL/sustainability,
ADP,https://www.morningstar.com/stocks/xnas/ADP/sustainability,"(['Human Capital\nOverall\nData Privacy & Security\nOverall\nBusiness Ethics\nOverall'], 4, 'Incidents: Employee, Customer')"
